"filename","full_date","year","year_month","article_count","article_counts_per_issue","article_length_chars","article_length_words","newspaper","headline"
"1863-07-01_01.txt","1863-07-01","1864","1864-02",1,9,7101,955,"PC","Ist das Abgeordnetenhaus eine Obrigkeit?"
"1863-07-01_02.txt","1863-07-01","1864","1864-02",2,9,1083,129,"PC","Wochenschau."
"1863-07-01_03.txt","1863-07-01","1864","1864-02",3,9,546,66,"PC","Wochenschau."
"1863-07-01_04.txt","1863-07-01","1864","1864-02",4,9,2145,310,"PC","Wochenschau."
"1863-07-01_05.txt","1863-07-01","1864","1864-02",5,9,1904,260,"PC","Wochenschau."
"1863-07-01_06.txt","1863-07-01","1864","1864-02",6,9,1592,225,"PC","Wochenschau."
"1863-07-01_07.txt","1863-07-01","1864","1864-02",7,9,1806,242,"PC","Wochenschau."
"1863-07-01_08.txt","1863-07-01","1864","1864-02",8,9,512,65,"PC","Wochenschau."
"1863-07-01_09.txt","1863-07-01","1864","1864-02",9,9,1167,153,"PC","Wochenschau."
"1863-07-08_01.txt","1863-07-08","1864","1864-02",10,7,6042,787,"PC","Ist das Abgeordnetenhaus eine Obrigkeit?"
"1863-07-08_02.txt","1863-07-08","1864","1864-02",11,7,3106,424,"PC","Ein Rückblick auf die Reise des Kronprinzen."
"1863-07-08_03.txt","1863-07-08","1864","1864-02",12,7,883,112,"PC","Wochenschau."
"1863-07-08_04.txt","1863-07-08","1864","1864-02",13,7,491,75,"PC","Wochenschau."
"1863-07-08_05.txt","1863-07-08","1864","1864-02",14,7,1757,251,"PC","Wochenschau."
"1863-07-08_06.txt","1863-07-08","1864","1864-02",15,7,4134,597,"PC","Wochenschau."
"1863-07-08_07.txt","1863-07-08","1864","1864-02",16,7,1322,175,"PC","Wochenschau."
"1863-07-15_01.txt","1863-07-15","1864","1864-02",17,8,4579,594,"PC","Der Regierung Sinn und Streben."
"1863-07-15_02.txt","1863-07-15","1864","1864-02",18,8,3235,438,"PC","Wochenschau."
"1863-07-15_03.txt","1863-07-15","1864","1864-02",19,8,418,47,"PC","Wochenschau."
"1863-07-15_04.txt","1863-07-15","1864","1864-02",20,8,448,59,"PC","Wochenschau."
"1863-07-15_05.txt","1863-07-15","1864","1864-02",21,8,1825,246,"PC","Wochenschau."
"1863-07-15_06.txt","1863-07-15","1864","1864-02",22,8,1797,244,"PC","Wochenschau."
"1863-07-15_07.txt","1863-07-15","1864","1864-02",23,8,2998,444,"PC","Wochenschau."
"1863-07-15_08.txt","1863-07-15","1864","1864-02",24,8,2293,315,"PC","Wochenschau."
"1863-07-22_01.txt","1863-07-22","1864","1864-02",25,8,6616,890,"PC","Verfassung und Königthum in Preußen."
"1863-07-22_02.txt","1863-07-22","1864","1864-02",26,8,2978,429,"PC","Ohne Überschrift"
"1863-07-22_03.txt","1863-07-22","1864","1864-02",27,8,1381,180,"PC","Wochenschau."
